a,b,c,x,y,d
Record Length,2.500000e+03,,  -0.000001262000,  -4.24000,
Sample Interval,1.000000e-09,,  -0.000001261000,  -4.24000,
Trigger Point,1.262000000000e+03,,  -0.000001260000,  -4.24000,
,,,  -0.000001259000,  -4.24000,
,,,  -0.000001258000,  -4.24000,
,,,  -0.000001257000,  -4.24000,
Source,CH1,,  -0.000001256000,  -4.24000,
Vertical Units,V,,  -0.000001255000,  -4.24000,
Vertical Scale,2.000000e+00,,  -0.000001254000,  -4.24000,
Vertical Offset,1.600000e-01,,  -0.000001253000,  -4.24000,
Horizontal Units,s,,  -0.000001252000,  -4.24000,
Horizontal Scale,2.500000e-07,,  -0.000001251000,  -4.24000,
Pt Fmt,Y,,  -0.000001250000,  -4.24000,
Yzero,0.000000e+00,,  -0.000001249000,  -4.24000,
Probe Atten,1.000000e+01,,  -0.000001248000,  -4.24000,
Model Number,TDS2024B,,  -0.000001247000,  -4.32000,
Serial Number,C030801,,  -0.000001246000,  -4.32000,
Firmware Version,FV:v22.01,,  -0.000001245000,  -4.32000,
,,,-00.000001244000,  -4.32000,
,,,-00.000001243000,  -4.32000,
,,,-00.000001242000,  -4.32000,
,,,-00.000001241000,  -4.32000,
,,,-00.000001240000,  -4.32000,
,,,-00.000001239000,  -4.32000,
,,,-00.000001238000,  -4.32000,
,,,-00.000001237000,  -4.32000,
,,,-00.000001236000,  -4.32000,
,,,-00.000001235000,  -4.32000,
,,,-00.000001234000,  -4.32000,
,,,-00.000001233000,  -4.32000,
,,,-00.000001232000,  -4.32000,
,,,-00.000001231000,  -4.32000,
,,,-00.000001230000,  -4.32000,
,,,-00.000001229000,  -4.32000,
,,,-00.000001228000,  -4.32000,
,,,-00.000001227000,  -4.32000,
,,,-00.000001226000,  -4.32000,
,,,-00.000001225000,  -4.32000,
,,,-00.000001224000,  -4.32000,
,,,-00.000001223000,  -4.32000,
,,,-00.000001222000,  -4.32000,
,,,-00.000001221000,  -4.32000,
,,,-00.000001220000,  -4.32000,
,,,-00.000001219000,  -4.32000,
,,,-00.000001218000,  -4.32000,
,,,-00.000001217000,  -4.32000,
,,,-00.000001216000,  -4.32000,
,,,-00.000001215000,  -4.24000,
,,,-00.000001214000,  -4.24000,
,,,-00.000001213000,  -4.32000,
,,,-00.000001212000,  -4.32000,
,,,-00.000001211000,  -4.24000,
,,,-00.000001210000,  -4.24000,
,,,-00.000001209000,  -4.24000,
,,,-00.000001208000,  -4.24000,
,,,-00.000001207000,  -4.24000,
,,,-00.000001206000,  -4.24000,
,,,-00.000001205000,  -4.24000,
,,,-00.000001204000,  -4.24000,
,,,-00.000001203000,  -4.24000,
,,,-00.000001202000,  -4.24000,
,,,-00.000001201000,  -4.24000,
,,,-00.000001200000,  -4.24000,
,,,-00.000001199000,  -4.24000,
,,,-00.000001198000,  -4.24000,
,,,-00.000001197000,  -4.24000,
,,,-00.000001196000,  -4.24000,
,,,-00.000001195000,  -4.16000,
,,,-00.000001194000,  -4.16000,
,,,-00.000001193000,  -4.16000,
,,,-00.000001192000,  -4.16000,
,,,-00.000001191000,  -4.16000,
,,,-00.000001190000,  -4.16000,
,,,-00.000001189000,  -4.16000,
,,,-00.000001188000,  -4.16000,
,,,-00.000001187000,  -4.16000,
,,,-00.000001186000,  -4.16000,
,,,-00.000001185000,  -4.16000,
,,,-00.000001184000,  -4.16000,
,,,-00.000001183000,  -4.08000,
,,,-00.000001182000,  -4.08000,
,,,-00.000001181000,  -4.08000,
,,,-00.000001180000,  -4.08000,
,,,-00.000001179000,  -4.08000,
,,,-00.000001178000,  -4.08000,
,,,-00.000001177000,  -4.08000,
