a,b,c,x,y,d
Record Length,2.500000e+03,,  -0.000001390000,  -2.80000,
Sample Interval,1.000000e-09,,  -0.000001389000,  -2.80000,
Trigger Point,1.390000000000e+03,,  -0.000001388000,  -2.72000,
,,,  -0.000001387000,  -2.72000,
,,,  -0.000001386000,  -2.64000,
,,,  -0.000001385000,  -2.64000,
Source,CH2,,  -0.000001384000,  -2.56000,
Vertical Units,V,,  -0.000001383000,  -2.56000,
Vertical Scale,2.000000e+00,,  -0.000001382000,  -2.48000,
Vertical Offset,-8.000000e-02,,  -0.000001381000,  -2.48000,
Horizontal Units,s,,  -0.000001380000,  -2.40000,
Horizontal Scale,2.500000e-07,,  -0.000001379000,  -2.40000,
Pt Fmt,Y,,  -0.000001378000,  -2.32000,
Yzero,0.000000e+00,,  -0.000001377000,  -2.24000,
Probe Atten,2.000000e+01,,  -0.000001376000,  -2.24000,
Model Number,TDS2024B,,  -0.000001375000,  -2.24000,
Serial Number,C030801,,  -0.000001374000,  -2.16000,
Firmware Version,FV:v22.01,,  -0.000001373000,  -2.08000,
,,,-00.000001372000,  -2.08000,
,,,-00.000001371000,  -2.00000,
,,,-00.000001370000,  -2.00000,
,,,-00.000001369000,  -1.92000,
,,,-00.000001368000,  -1.92000,
,,,-00.000001367000,  -1.84000,
,,,-00.000001366000,  -1.84000,
,,,-00.000001365000,  -1.76000,
,,,-00.000001364000,  -1.76000,
,,,-00.000001363000,  -1.68000,
,,,-00.000001362000,  -1.60000,
,,,-00.000001361000,  -1.60000,
,,,-00.000001360000,  -1.52000,
,,,-00.000001359000,  -1.52000,
,,,-00.000001358000,  -1.44000,
,,,-00.000001357000,  -1.44000,
,,,-00.000001356000,  -1.36000,
,,,-00.000001355000,  -1.36000,
,,,-00.000001354000,  -1.28000,
,,,-00.000001353000,  -1.28000,
,,,-00.000001352000,  -1.20000,
,,,-00.000001351000,  -1.20000,
,,,-00.000001350000,  -1.12000,
,,,-00.000001349000,  -1.04000,
,,,-00.000001348000,  -1.04000,
,,,-00.000001347000,  -0.96000,
,,,-00.000001346000,  -0.96000,
,,,-00.000001345000,  -0.88000,
,,,-00.000001344000,  -0.88000,
,,,-00.000001343000,  -0.80000,
,,,-00.000001342000,  -0.72000,
,,,-00.000001341000,  -0.72000,
,,,-00.000001340000,  -0.64000,
,,,-00.000001339000,  -0.64000,
,,,-00.000001338000,  -0.56000,
,,,-00.000001337000,  -0.56000,
,,,-00.000001336000,  -0.48000,
,,,-00.000001335000,  -0.48000,
,,,-00.000001334000,  -0.40000,
,,,-00.000001333000,  -0.40000,
,,,-00.000001332000,  -0.32000,
,,,-00.000001331000,  -0.24000,
,,,-00.000001330000,  -0.24000,
,,,-00.000001329000,  -0.16000,
,,,-00.000001328000,  -0.16000,
,,,-00.000001327000,  -0.08000,
,,,-00.000001326000,   0.00000,
,,,-00.000001325000,   0.00000,
,,,-00.000001324000,   0.08000,
,,,-00.000001323000,   0.08000,
,,,-00.000001322000,   0.16000,
,,,-00.000001321000,   0.16000,
,,,-00.000001320000,   0.24000,
,,,-00.000001319000,   0.24000,
,,,-00.000001318000,   0.32000,
,,,-00.000001317000,   0.40000,
,,,-00.000001316000,   0.40000,
,,,-00.000001315000,   0.48000,
,,,-00.000001314000,   0.48000,
,,,-00.000001313000,   0.56000,
,,,-00.000001312000,   0.56000,
,,,-00.000001311000,   0.64000,
,,,-00.000001310000,   0.64000,
,,,-00.000001309000,   0.72000,
,,,-00.000001308000,   0.80000,
,,,-00.000001307000,   0.80000,
,,,-00.000001306000,   0.88000,
,,,-00.000001305000,   0.88000,
,,,-00.000001304000,   0.96000,
,,,-00.000001303000,   0.96000,
,,,-00.000001302000,   1.04000,
,,,-00.000001301000,   1.04000,
,,,-00.000001300000,   1.12000,
,,,-00.000001299000,   1.20000,
,,,-00.000001298000,   1.20000,
,,,-00.000001297000,   1.28000,
,,,-00.000001296000,   1.28000,
,,,-00.000001295000,   1.36000,
,,,-00.000001294000,   1.36000,
,,,-00.000001293000,   1.44000,
,,,-00.000001292000,   1.52000,
,,,-00.000001291000,   1.52000,
,,,-00.000001290000,   1.60000,
,,,-00.000001289000,   1.60000,
,,,-00.000001288000,   1.68000,
,,,-00.000001287000,   1.68000,
,,,-00.000001286000,   1.76000,
,,,-00.000001285000,   1.76000,
,,,-00.000001284000,   1.84000,
,,,-00.000001283000,   1.84000,
,,,-00.000001282000,   1.92000,
,,,-00.000001281000,   1.92000,
,,,-00.000001280000,   2.00000,
,,,-00.000001279000,   2.00000,
,,,-00.000001278000,   2.08000,
,,,-00.000001277000,   2.16000,
,,,-00.000001276000,   2.16000,
,,,-00.000001275000,   2.24000,
,,,-00.000001274000,   2.24000,
,,,-00.000001273000,   2.32000,
,,,-00.000001272000,   2.32000,
,,,-00.000001271000,   2.40000,
,,,-00.000001270000,   2.40000,
,,,-00.000001269000,   2.48000,
,,,-00.000001268000,   2.48000,
,,,-00.000001267000,   2.56000,
,,,-00.000001266000,   2.56000,
,,,-00.000001265000,   2.64000,
,,,-00.000001264000,   2.64000,
,,,-00.000001263000,   2.72000,
,,,-00.000001262000,   2.72000,
,,,-00.000001261000,   2.80000,
,,,-00.000001260000,   2.80000,
,,,-00.000001259000,   2.88000,
,,,-00.000001258000,   2.88000,
,,,-00.000001257000,   2.96000,
,,,-00.000001256000,   3.04000,
,,,-00.000001255000,   3.04000,
,,,-00.000001254000,   3.04000,
,,,-00.000001253000,   3.12000,
,,,-00.000001252000,   3.12000,
,,,-00.000001251000,   3.20000,
,,,-00.000001250000,   3.20000,
,,,-00.000001249000,   3.28000,
,,,-00.000001248000,   3.28000,
,,,-00.000001247000,   3.36000,
,,,-00.000001246000,   3.36000,
,,,-00.000001245000,   3.44000,
,,,-00.000001244000,   3.44000,
,,,-00.000001243000,   3.52000,
,,,-00.000001242000,   3.52000,
,,,-00.000001241000,   3.60000,
,,,-00.000001240000,   3.60000,
,,,-00.000001239000,   3.68000,
,,,-00.000001238000,   3.68000,
,,,-00.000001237000,   3.76000,
,,,-00.000001236000,   3.76000,
,,,-00.000001235000,   3.84000,
,,,-00.000001234000,   3.84000,
,,,-00.000001233000,   3.92000,
,,,-00.000001232000,   3.92000,
,,,-00.000001231000,   3.92000,
,,,-00.000001230000,   4.00000,
,,,-00.000001229000,   4.00000,
,,,-00.000001228000,   4.08000,
,,,-00.000001227000,   4.08000,
,,,-00.000001226000,   4.16000,
,,,-00.000001225000,   4.16000,
,,,-00.000001224000,   4.24000,
,,,-00.000001223000,   4.24000,
,,,-00.000001222000,   4.24000,
,,,-00.000001221000,   4.32000,
,,,-00.000001220000,   4.32000,
,,,-00.000001219000,   4.32000,
,,,-00.000001218000,   4.40000,
,,,-00.000001217000,   4.40000,
,,,-00.000001216000,   4.48000,
,,,-00.000001215000,   4.48000,
,,,-00.000001214000,   4.56000,
,,,-00.000001213000,   4.56000,
,,,-00.000001212000,   4.64000,
,,,-00.000001211000,   4.64000,
,,,-00.000001210000,   4.64000,
,,,-00.000001209000,   4.72000,
,,,-00.000001208000,   4.72000,
,,,-00.000001207000,   4.72000,
,,,-00.000001206000,   4.80000,
,,,-00.000001205000,   4.80000,
,,,-00.000001204000,   4.80000,
,,,-00.000001203000,   4.88000,
,,,-00.000001202000,   4.88000,
,,,-00.000001201000,   4.96000,
,,,-00.000001200000,   4.96000,
,,,-00.000001199000,   4.96000,
,,,-00.000001198000,   5.04000,
,,,-00.000001197000,   5.04000,
,,,-00.000001196000,   5.12000,
,,,-00.000001195000,   5.12000,
,,,-00.000001194000,   5.12000,
,,,-00.000001193000,   5.20000,
,,,-00.000001192000,   5.20000,
,,,-00.000001191000,   5.20000,
,,,-00.000001190000,   5.20000,
,,,-00.000001189000,   5.28000,
,,,-00.000001188000,   5.28000,
,,,-00.000001187000,   5.36000,
,,,-00.000001186000,   5.36000,
,,,-00.000001185000,   5.36000,
,,,-00.000001184000,   5.44000,
,,,-00.000001183000,   5.44000,
,,,-00.000001182000,   5.44000,
,,,-00.000001181000,   5.44000,
,,,-00.000001180000,   5.52000,
,,,-00.000001179000,   5.52000,
,,,-00.000001178000,   5.52000,
,,,-00.000001177000,   5.60000,
,,,-00.000001176000,   5.60000,
,,,-00.000001175000,   5.60000,
,,,-00.000001174000,   5.68000,
,,,-00.000001173000,   5.68000,
,,,-00.000001172000,   5.68000,
,,,-00.000001171000,   5.68000,
,,,-00.000001170000,   5.76000,
,,,-00.000001169000,   5.76000,
,,,-00.000001168000,   5.76000,
,,,-00.000001167000,   5.84000,
,,,-00.000001166000,   5.84000,
,,,-00.000001165000,   5.84000,
,,,-00.000001164000,   5.84000,
,,,-00.000001163000,   5.92000,
,,,-00.000001162000,   5.92000,
,,,-00.000001161000,   5.92000,
,,,-00.000001160000,   5.92000,
,,,-00.000001159000,   6.00000,
,,,-00.000001158000,   6.00000,
,,,-00.000001157000,   6.00000,
,,,-00.000001156000,   6.00000,
,,,-00.000001155000,   6.00000,
,,,-00.000001154000,   6.08000,
,,,-00.000001153000,   6.08000,
,,,-00.000001152000,   6.08000,
,,,-00.000001151000,   6.08000,
,,,-00.000001150000,   6.08000,
,,,-00.000001149000,   6.16000,
,,,-00.000001148000,   6.16000,
,,,-00.000001147000,   6.16000,
,,,-00.000001146000,   6.16000,
,,,-00.000001145000,   6.16000,
,,,-00.000001144000,   6.24000,
,,,-00.000001143000,   6.24000,
,,,-00.000001142000,   6.24000,
,,,-00.000001141000,   6.24000,
,,,-00.000001140000,   6.24000,
,,,-00.000001139000,   6.32000,
,,,-00.000001138000,   6.32000,
,,,-00.000001137000,   6.32000,
,,,-00.000001136000,   6.32000,
,,,-00.000001135000,   6.32000,
,,,-00.000001134000,   6.32000,
,,,-00.000001133000,   6.40000,
,,,-00.000001132000,   6.40000,
,,,-00.000001131000,   6.40000,
,,,-00.000001130000,   6.40000,
,,,-00.000001129000,   6.40000,
,,,-00.000001128000,   6.40000,
,,,-00.000001127000,   6.40000,
,,,-00.000001126000,   6.40000,
,,,-00.000001125000,   6.48000,
,,,-00.000001124000,   6.48000,
,,,-00.000001123000,   6.48000,
,,,-00.000001122000,   6.48000,
,,,-00.000001121000,   6.48000,
,,,-00.000001120000,   6.48000,
,,,-00.000001119000,   6.48000,
,,,-00.000001118000,   6.48000,
,,,-00.000001117000,   6.48000,
,,,-00.000001116000,   6.48000,
,,,-00.000001115000,   6.48000,
,,,-00.000001114000,   6.48000,
,,,-00.000001113000,   6.56000,
,,,-00.000001112000,   6.56000,
,,,-00.000001111000,   6.56000,
,,,-00.000001110000,   6.56000,
,,,-00.000001109000,   6.56000,
,,,-00.000001108000,   6.56000,
,,,-00.000001107000,   6.56000,
,,,-00.000001106000,   6.56000,
,,,-00.000001105000,   6.56000,
,,,-00.000001104000,   6.56000,
,,,-00.000001103000,   6.56000,
,,,-00.000001102000,   6.56000,
,,,-00.000001101000,   6.56000,
,,,-00.000001100000,   6.56000,
,,,-00.000001099000,   6.56000,
,,,-00.000001098000,   6.56000,
,,,-00.000001097000,   6.56000,
,,,-00.000001096000,   6.56000,
,,,-00.000001095000,   6.56000,
,,,-00.000001094000,   6.56000,
,,,-00.000001093000,   6.56000,
,,,-00.000001092000,   6.56000,
,,,-00.000001091000,   6.56000,
,,,-00.000001090000,   6.56000,
,,,-00.000001089000,   6.56000,
,,,-00.000001088000,   6.56000,
,,,-00.000001087000,   6.56000,
,,,-00.000001086000,   6.56000,
,,,-00.000001085000,   6.56000,
,,,-00.000001084000,   6.56000,
,,,-00.000001083000,   6.56000,
,,,-00.000001082000,   6.56000,
,,,-00.000001081000,   6.56000,
,,,-00.000001080000,   6.56000,
,,,-00.000001079000,   6.56000,
,,,-00.000001078000,   6.56000,
,,,-00.000001077000,   6.56000,
,,,-00.000001076000,   6.56000,
,,,-00.000001075000,   6.48000,
,,,-00.000001074000,   6.48000,
,,,-00.000001073000,   6.48000,
,,,-00.000001072000,   6.48000,
